* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C670 2025020815    996.4      7.8       67      4.9     57.0     11.9     67.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C670 2025020816    996.6      7.5       71      4.3     56.0     11.6     42.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025020817    997.0      7.3       73      4.1     58.0     10.3     68.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020818    997.7      7.3       74      3.5     58.0     10.0     60.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C670 2025020819    997.8      6.9       79      4.1     55.0     10.6     63.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C670 2025020820    997.8      7.2       76      3.7     54.0     10.2     76.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C670 2025020821    997.8      7.5       75      3.4     51.0      8.7     29.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020822    997.6      7.9       74      4.6     56.0     10.8     79.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C670 2025020823    997.2      8.1       73      3.9     59.0     11.7     65.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C670 2025020824    997.1      8.2       74      4.3     55.0     12.7     94.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C670 2025020901    997.0      8.5       72      3.1     47.0     11.2     74.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C670 2025020902    997.2      8.3       77      3.3     49.0      9.8     65.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C670 2025020903    997.4      7.9       83      2.9     40.0      9.1     50.0      0.0     None     None     None     None     None     None     None     None     2000     None
C0C670 2025020904    997.2      7.6       88      2.8     30.0      9.8     68.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020905    997.4      7.6       91      2.0     23.0      6.3     86.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020906    998.0      7.4       95      2.0     30.0      7.6     34.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025020907    998.0      7.6       96      2.1     29.0      7.1     43.0      0.0     None     None     None     None     None     None     None     None     3100     None
C0C670 2025020908    998.2      7.9       95      2.0     33.0      7.0     54.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C670 2025020909    997.9      8.6       91      3.1     32.0      8.0     28.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C670 2025020910    997.3     10.5       77      3.2     33.0     10.7     30.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C670 2025020911    996.9     10.7       76      4.0     40.0     10.4     47.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C670 2025020912    996.0     10.9       76      3.6     27.0     12.3      3.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020913    995.1     10.6       79      4.0     37.0     11.0     35.0      0.0     None     None     None     None     None     None     None     None     1800     None
C0C670 2025020914    994.0     10.7       80      4.7     44.0     13.5     81.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C670 2025020915    992.9     10.5       80      4.2     42.0     12.3     34.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C670 2025020916    993.2     10.0       80      4.0     33.0     12.8     31.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C670 2025020917    994.2      9.9       81      4.2     37.0     13.9     36.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C670 2025020918    994.5      9.7       80      3.6     40.0     10.3     21.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C670 2025020919    994.7      9.9       78      3.7     41.0     13.6     91.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C670 2025020920    994.3     10.2       75      4.3     45.0     14.3     54.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C670 2025020921    994.6     10.2       75      3.5     36.0     10.4     32.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C670 2025020922    994.6     10.5       74      3.7     44.0     10.4     55.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C670 2025020923    994.8     10.6       75      3.8     53.0     11.2     84.0      0.0     None     None     None     None     None     None     None     None     4400     None
C0C670 2025020924    994.7     10.7       75      2.6     39.0     10.6     66.0      0.0     None     None     None     None     None     None     None     None     3300     None
C0C670 2025021001    994.8     10.9       75      2.3     39.0      9.0     65.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C670 2025021002    994.4     11.1       74      2.1     40.0      7.8     72.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C670 2025021003    993.9     11.0       76      1.5     52.0      7.5     70.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C670 2025021004    993.6     11.3       75      2.0     59.0      7.9     56.0      0.0     None     None     None     None     None     None     None     None     4900     None
C0C670 2025021005    994.0     11.3       76      1.6     37.0      5.2     40.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C670 2025021006    994.4     11.5       77      1.7     29.0      5.5     36.0      0.0     None     None     None     None     None     None     None     None     3600     None
C0C670 2025021007    995.1     11.7       78      1.4     17.0      4.6     14.0      0.0     None     None     None     None     None     None     None     None     2100     None
C0C670 2025021008    995.4     12.2       77      1.9     27.0      5.4     26.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C670 2025021009    995.2     13.7       71      2.8     59.0      6.7     53.0      0.0     None     None     None     None     None     None     None     None     5500     None
